conditionToUnlockIt,canBeUnlockedByAnAmiibo,firstAppearanceInMarioMaker,reference,uniqueName,haveASoundEffectWhenCollected_game,haveASoundEffectWhenCollected,haveASoundEffectOnTaunt_game,haveASoundEffectOnTaunt,haveASoundEffectOnJump_game,haveASoundEffectOnJump,haveASoundEffectOnGroundAfterJump_game,haveASoundEffectOnGroundAfterJump,soundEffectOnMovement,haveASoundEffectOnTurnAfterRun,haveASpecialMusicInStarMode_game,haveASpecialMusicInStarMode,haveASoundEffectWhenOnGoalPole_type,haveASoundEffectWhenOnGoalPole_game,haveASoundEffectWhenOnGoalPole_smallDefinition,haveASoundEffectWhenOnGoalPole,haveASoundEffectOnDeath_type,haveASoundEffectOnDeath_game,haveASoundEffectOnDeath_smallDefinition,haveASoundEffectOnDeath,english,americanEnglish,europeanEnglish,french,canadianFrench,europeanFrench,german,spanish,americanSpanish,europeanSpanish,italian,dutch,portuguese,americanPortuguese,europeanPortuguese,russian,japanese,chinese,traditionalChinese,simplifiedChinese,korean
Complete Event,FALSE,,SMB3,Frog Mario,,FALSE,,FALSE,SMB3,TRUE,,FALSE,,FALSE,,FALSE,,SMB3,Airship completed,FALSE,,SMB3,Lost a life,TRUE,Frog Mario,,,Mario genouille,,,Frosch-Mario,,Mario rana,Mario Rana,Mario rana,Kikker-Mario,Mario Sapo,,,Марио-лягушка,カエルマリオ,,青蛙瑪利歐,青蛙马力欧,
Complete Event,FALSE,,SMB3,Statue Mario,,TRUE,,FALSE,SMB3,TRUE,,FALSE,,TRUE,,FALSE,,SMB3,Airship completed,FALSE,,SMB3,Lost a life,TRUE,Statue Mario,,,Mario statue,,,Statuen-Mario,,Mario estatua,Mario Estatua,Mario Statua,Standbeeld-Mario,Mario Estátua,,,Марио-статуя,地蔵マリオ,,地藏瑪利歐,地藏马力欧,돌부처마리오
Complete Event,FALSE,,M&L:PJ,Mario Trio,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,???,???,TRUE,,???,"Mario saying ""Mama mia""",TRUE,Mario Trio,,,Trio Mario,,,Mario-Trio,,Mario y compañía,Mario trio,Trio Mario,Mario-trio,Trio Mario,,,Трио Марио,マリオトリオ,,,,
100 Mario (easy),FALSE,v1.00,SMK,Kart Mario,,TRUE,,FALSE,,TRUE,,TRUE,Engine sound,TRUE,SMK,Super Star,,SMK,Race finished,TRUE,,SMK,Eliminated from the race,TRUE,Kart Mario,,,,Mario en kart,Mario Kart,Mario im Kart,Mario en kart,,,Kart di Mario,Mario in kart,Mario + Kart,,,Марио в карте,マリオカート,,,,
Complete Event,FALSE,,SM3DW,Cat Mario,,TRUE,,TRUE,,2,,FALSE,,FALSE,,FALSE,,SM3DW,Level finished,TRUE,,SM3DW,Lost a life,TRUE,Cat Mario,,,Mario chat,,,Katzen-Mario,,Mario felino,Mario Felino,Mario gatto,Kat-Mario,Mario Gato,,,Марио-кот,ネコマリオ,,貓咪瑪利歐,猫咪马力欧,고양이마리오
Complete Event,FALSE,,SM3DW,Cat Peach,,TRUE,,TRUE,,2,,FALSE,,FALSE,,FALSE,,SM3DW,Level finished,TRUE,,SM3DW,Lost a life,TRUE,Cat Peach,,,Peach chat,,,Katzen-Peach,,Peach felina,Peach Felina,Peach gatto,Kat-Peach,Peach Gata,,,Пич-кошка,ネコピーチ,,貓咪桃花公主,猫咪碧姬公主,고양이피치
Complete Event,FALSE,,SML,Sky Pop,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,SML,Level finished,TRUE,,SML,Lost a life,TRUE,Sky Pop,,,Sky Pop,,,Sky Pop,Sky Pop,,,Sky Pop,Sky Pop,Sky Pop,,,Неболет,スカイポップ号,,,,
100 Mario (expert),FALSE,,SMW2:YI,Baby Mario,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,SMW2:YI,Level finished,TRUE,,SMW2:YI,Game over,TRUE,Baby Mario,,,Bébé Mario,,,Baby Mario,Bebé Mario,,,Baby Mario,Baby Mario,,Bebê Mario,Mario Bebé,Малыш Марио,ベビィマリオ,,瑪利歐寶寶,马力欧宝宝,베이비 마리오
Unlock Mystery Mushroom,FALSE,v1.00,SMB,? Block,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,FALSE,,,,FALSE,? Block,,,Bloc ?,,,?-Block,Bloque ?,,,Blocco ?,?-blok,Bloco ?,,,Блок «?»,ハテナブロック,,? 磚塊,? 砖块,?블록
Unlock Mystery Mushroom,FALSE,v1.00,SMB,Trampoline,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,,,FALSE,,,,FALSE,Trampoline,,,Tremplin,,,Trampolin,Trampolín,,,Trampolino,Trampoline,Trampolim,,,Трамплин ,ジャンプ台,,,,
100 Mario (expert),FALSE,v1.00,MB,Mario (MB),,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,,FALSE,,MB,Game over,TRUE,,MB,Lost a life,TRUE,Mario,,,Mario,,,Mario,Mario,,,Mario,Mario,Mario,,,Марио,マリオ,,瑪利歐,马力欧,마리오
100 Mario (expert),FALSE,v1.00,MB,Sidestepper,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,MB,Game over,TRUE,,MB,Lost a life,TRUE,Sidestepper,,,Zarbipas,,,Krabbe,,Flancogrejo,Cangrejo,Granchio,Sidestepper,Caranguejo,,,Бокоход,カ二,阿蟹,,,게님
100 Mario (expert),FALSE,v1.00,MB,Shellcreeper,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,MB,Game over,TRUE,,MB,Lost a life,TRUE,Shellcreeper,,,Carapeur,,,Schildkröte,,Trotatuga,Tortuga,Tartaruga,Shellcreeper,Tartaruga,,,Черепашкин,カメ,,,,
Gnat Attack (hard),FALSE,v1.00,MB,Fighter Fly,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,MB,Game over,TRUE,,MB,Lost a life,TRUE,Fighter Fly,,,Mouche de combat,,,Fliege,,Mosquerella,Mosca,Mosca,Fighter Fly,Mosca Guerreira,,,Бойцовая муха,ファイターフライ,,,,
100 Mario (easy),TRUE,v1.00,YWW,Green Yarn Yoshi,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,YWW,Level finished,TRUE,,YWW,Falling offscreen,TRUE,Green Yarn Yoshi,,,Yoshi de laine vert,,,Grüner Woll-Yoshi,,Yoshi tejido verde,Yoshi de Lana verde,Yoshi di lana verde,Groene wollen Yoshi,Yoshi de Lã verde,,,Зеленый вязаный йоши,あみぐるみヨッシー みどり,,,,
100 Mario (normal),TRUE,v1.00,YWW,Pink Yarn Yoshi,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,YWW,Level finished,TRUE,,YWW,Falling offscreen,TRUE,Pink Yarn Yoshi,,,Yoshi de laine rose,,,Rosa Woll-Yoshi,,Yoshi tejido rosa,Yoshi de Lana rosa,Yoshi di lana rosa,Roze wollen Yoshi,Yoshi de Lã rosa,,,Розовый вязаный йоши,あみぐるみヨッシー ピンク,,,,
100 Mario (normal),TRUE,v1.00,YWW,Light-Blue Yarn Yoshi,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,YWW,Level finished,TRUE,,YWW,Falling offscreen,TRUE,Light-Blue Yarn Yoshi,,,Yoshi de laine bleu ciel,,,Hellblauer Woll-Yoshi,,Yoshi tejido azul claro,Yoshi de Lana azul claro,Yoshi di lana azzurro,Lichtblauwe wollen Yoshi,Yoshi de Lã azul-claro,,,Голубой вязаный йоши,あみぐるみヨッシー みずいろ,,,,
100 Mario (expert),TRUE,v1.00,YWW,Mega Yarn Yoshi,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,YWW,Level finished,TRUE,,YWW,Falling offscreen,TRUE,Mega Yarn Yoshi,,,Méga Yoshi de laine,,,Mega-Woll-Yoshi,,Mega Yoshi tejido,Mega Yoshi de Lana,Mega Yoshi di lana,Wollen Mega-Yoshi,Mega Yoshi de Lã,,,Вязаный мегайоши,あみぐるみヨッシー ビッグ,,,,
100 Mario (normal),TRUE,v1.00,DK,Donkey Kong,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,DK,Level finished,TRUE,,DK,Lost a life,TRUE,Donkey Kong,,,Donkey Kong,,,Donkey Kong,Donkey Kong,,,Donkey Kong,Donkey Kong,Donkey Kong,,,Донки Конг,ドンキーコング,,森喜剛,森喜刚,동키콩
100 Mario (easy),FALSE,v1.00,DKJ,Donkey Kong Jr.,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,DKJ,???,TRUE,,DKJ,???,TRUE,Donkey Kong Jr.,,,Donkey Kong Jr.,,,Donkey Kong Jr.,Donkey Kong Jr.,,,Donkey Kong Jr.,Donkey Kong Jr.,Donkey Kong Jr.,,,Донки Конг-младший,ドンキーコングJr.,,森喜剛Jr.,森喜刚Jr.,
100 Mario (normal),TRUE,v1.00,DKC,Diddy Kong,,TRUE,,TRUE,,2,,TRUE,,FALSE,,FALSE,,DKC,Level finished,TRUE,,DKC,Lost a life,TRUE,Diddy Kong,,,Diddy Kong,,,Diddy Kong,Diddy Kong,,,Diddy Kong,Diddy Kong,Diddy Kong,,,Дидди Конг,ディディーコング,,狄狄剛,迪迪刚,디디콩
100 Mario (expert),TRUE,v1.00,PO,Little Mac,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,PO,Level finished,TRUE,,PO,Round lost,TRUE,Little Mac,,,Little Mac,,,Little Mac,Little Mac,,,Little Mac,Little Mac,Little Mac,,,Малыш Мэк,リトル・マック,小麥克,,,리틀 맥
100 Mario (normal),TRUE,v1.00,DH,Duck Hunt,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,DH,Prefect score obtained,TRUE,,DH,Dog laughing,TRUE,,Duck Hunt,Duck Hunt Duo,,Duck Hunt,Duo Duck Hunt,Duck-Hunt-Duo,,Duck Hunt,Dúo Duck Hunt,Duo Duck Hunt,Duck Hunt-duo,Duo Duck Hunt,,,Дуэт Duck Hunt,ダックハント,,,,
100 Mario (super expert),FALSE,,CCL,Bubbles,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,CCL,???,TRUE,,CCL,???,TRUE,Bubbles,,,Bubbles,,,Bubbles,Bubbles,,,Bubble,Bubbles,Bubbles,,,Bubbles,グルッピー,,,,
Complete Event,FALSE,,E,Bike,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,E,???,TRUE,,E,???,TRUE,Bike,,,Moto,,,Motorrad,Moto,,,Motocicletta,Motor,Mota,,,Мотоцикл,モトクロッサー,,,,
100 Mario (normal),FALSE,,BF,Balloon Fighter,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,BF,???,TRUE,,BF,???,TRUE,Balloon Fighter,,,Balloon Fighter,,,Balloon Fighter,,Globonauta,Balloon Fighter,Balloon Fighter,Ballonvaarder,Balloon Fighter,,,Боец на шариках,主人公,,,,
Complete Event,FALSE,,IC,Popo & Nana,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,IC,Level finished,TRUE,,IC,Game Over,TRUE,,Popo & Nana,Popo and Nana,Popo et Nana,,,Pepe und Nana,Popo y Nana,,,Popo e Nana,Popo en Nana,Popo e Nana,,,Popo и Nana,ポポとナナ,,,,
100 Mario (normal),FALSE,v1.00,WC,Foreman Spike,,TRUE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,,WC,???,TRUE,,WC,???,TRUE,Foreman Spike,,,Spike,,,Vorarbeiter Spike,Capataz Spike,,,Caposquadra Spike,Spike,Capataz Spike,,,Прораб Спайк,ブラッキー,,,,
100 Mario (easy),TRUE,v1.00,TLZ,Link,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,,FALSE,,TLZ,Triforce collected,TRUE,,TLZ,lost a life,TRUE,Link,,,Link,,,Link,Link,,,Link,Link,Link,,,Линк,リンク,林克,,,링크
100 Mario (expert),TRUE,v1.00,TLZ,Zelda,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,TLZ:ALP,Link meets Zelda for the 1st time,TRUE,,TLZ:ALP,lost a life,TRUE,Zelda,,,Zelda,,,Zelda,Zelda,,,Zelda,Zelda,Zelda,,,Зельда,ゼルダ,,薩爾達,塞尔达,젤다
100 Mario (normal),TRUE,v1.00,TLZ:OT,Sheik,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,TLZ:OT,Link meets Zelda for the 1st time,TRUE,,TLZ:OT,Zelda's Lullaby,TRUE,Sheik,,,Sheik,,,Shiek,Sheik,,,Sheik,Sheik,Sheik,,,Шиик,シーク,希克,,,시크
100 Mario (normal),TRUE,v1.00,TLZ:TWW,Toon Link,,TRUE,,TRUE,,2,,FALSE,,FALSE,,FALSE,,TLZ:TWW,???,TRUE,,TLZ:TWW,Link caught by Moblins,TRUE,Toon Link,,,Link Cartoon,,,Toon-Link,Toon Link,,,Link cartone,Toon Link,Link Cartoon,,,Мульт-Линк,トゥーンリンク,卡通林克,,,툰 링크
100 Mario (normal),FALSE,,TLZ:TWW,Tetra,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,TLZ:TWW,???,TRUE,,TLZ:TWW,Link caught by Moblins,TRUE,Tetra,,,Tetra,,,Tetra,Tetra,,,Dazel,Tetra,Tetra,,,Тетра,テトラ ,,,,
100 Mario (normal),FALSE,v1.00,TLZ:MM,Tingle,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,TLZ:MM,Timed event completed,TRUE,,TLZ:MM,Timed event failed,"+ ""Yaha!""",Tingle,,,Tingle,,,Tingle,Tingle,,,Tingle,Tingle,Tingle,,,Тингл,チンクル,,,,
100 Mario (easy),TRUE,v1.00,TLZ:OT,Ganondorf,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TLZ:ALP,Ganon encounter,TRUE,,TLZ:ALP,Boss defeated,TRUE,Ganondorf,,,Ganondorf,,,Ganondorf,Ganondorf,,,Ganondorf,Ganondorf,Ganondorf,,,Ганондорф,ガノンドロフ,,加儂多夫,盖侬多夫,가논돌프
Complete Event,TRUE,,TLZ:TP,Wolf Link,,TRUE,,TRUE,,2,,FALSE,,FALSE,,FALSE,,TLZ:TP,???,TRUE,,TLZ:TP,???,TRUE,Wolf Link,,,Link loup,,,Wolf-Link,,Link lobo,Link Lobo,Link lupo,Wolf-Link,Link Lobo,,,Линк-волк,ウルフリンク,,,,
Complete Event,FALSE,,TLZ:TFH,Totem Link,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,TLZ:TFH,Level finished?,TRUE,,TLZ:TFH,???,TRUE,Totem Link,,,,Totem de Link,Link totem,Link-Totem,,Totém de Link,Link Totémico,Link totem,Link-totem,Torre de Links,,,Тотем из Линков,トーテムリンク,,,,
100 Mario (normal),TRUE,v1.00,M,Samus,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,M,Upgrage optained,TRUE,,M,???,TRUE,Samus,,,Samus,,,Samus,Samus,,,Samus,Samus,Samus,,,Самус,サムス,,薩姆斯,萨姆斯,사무스
100 Mario (expert),TRUE,v1.00,M:ZM,Zero Suit Samus,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,M:ZM,Upgrage optained,TRUE,,M:ZM,???,TRUE,Zero Suit Samus,,,,Samus sans combinaison,Samus sans armure,Zero Suit Samus,Samus Zero,,,Samus Tuta Zero,Zero Suit Samus,Samus (Armadura Zero),,,Самус (нуль-костюме),ゼロスーツサムス,,零裝甲薩姆斯,零装甲萨姆斯,제로 슈트 사무스
Complete Event,FALSE,,V,Volleyball Player,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,V,???,TRUE,,V,???,TRUE,Volleyball Player,,,Joueuse de volleyball,,,Volleyballspielerin,Jugadora de voleibol,,,Pallavolista,Volleybalster,Voleibolista,,,Волейболистка,バレーボール選手,,,,
100 Mario (normal),TRUE,v1.00,KI,Pit,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,KI,???,TRUE,,KI,Lost a life,TRUE,Pit,,,Pit,,,Pit,Pit,,,Pit,Pit,Pit,,,Пит,ピット,彼特,,,피트
100 Mario (normal),TRUE,v1.00,KI,Palutena,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,KI,???,TRUE,,KI,Lost a life,TRUE,Palutena,,,,Paluténa,Palutena,Palutena,Palutena,,,Palutena,Palutena,Palutena,,,Палютена,パルテナ,帕露蒂娜,,,파르테나
