notificationIfUnlocked,MM2_version,category,english,americanEnglish,europeanEnglish,french,canadianFrench,europeanFrench,german,spanish,americanSpanish,europeanSpanish,italian,dutch,portuguese,americanPortuguese,europeanPortuguese,russian,japanese,chinese,traditionalChinese,simplifiedChinese,korean
Finish rebuilding the castle,,Headgear,Builder Hard Hat,,,,Casque de Mario constructeur,Casque de Mario ouvrier,Barmeister-Helm,,Casco de Mario constructor,Casco de Mario Constructor,Elmetto di Mario costruttore,Bouw-Mario's helm,,,,Каска Марио-строителя,ビルダーマリオのヘルメット,,建築工人瑪利歐的安全帽,建筑工马力欧安全帽,빌더마리오 헬멧
Finish rebuilding the castle,,Costume,Builder Mario Outfit,,,,Sal. de Mario constructeur,Bleu de Mario ouvrier,Barmeister-Anzug,,Traje de Mario constructor,Traje de Mario Constructor,Tuta di Mario costruttore,Bouw-Mario's outfit,,,,Одежда Марио-строителя,ビルダーマリオの服,,建築工人瑪利歐的服裝,建筑工马力欧服,빌더마리오 옷
Rank B in Multiplayer VS,,Headgear,Doctor Headgear,,,Miroir frontal,,,Arztspiegel,Espejo de médico,,,Specchio medico,Voorhoofdsspiegel,,,,Налобное зеркало врача,おいしゃさんの道具,,醫生的用具,医生道具,의사 도구
Rank B in Multiplayer VS,,Costume,Doctor Coat,,,Blouse de docteur,,,Arzt-Anzug,Uniforme de médico,,,Camice medico,Doktersjas,,,,Халат врача,おいしゃさんの服,,醫生的服裝,医生服,의사 옷
Rank C in Multiplayer VS,,Headgear,Luigi Cap,,,Casquette de Luigi,,,Luigi-Mütze,Gorra de Luigi,,,Cappello di Luigi,Luigi's pet,,,,Кепка Луиджи,ルイージのぼうし,,路易吉的帽子,路易吉帽,루이지 모자
Rank C in Multiplayer VS,,Costume,Luigi Outfit,,,,Salopette de Luigi,Bleu de Luigi,Luigi-Anzug,Traje de Luigi,,,Tuta di Luigi,Luigi's outfit,,,,Комбинезон Луиджи,ルイージの服,,路易吉的服裝,路易吉服,루이지 옷
Finish 2nd job (Peach),,Headgear,Princess Peach Wig,,,Perruque de Peach,,,Peach-Perücke,Peluca de Peach,,,Parrucca di Peach,Prinses Peach-pruik,,,,Парик принцессы Пич,ピーチ姫のウィッグ,,碧姬公主的假髮,桃花公主假发,피치공주 가발
Finish 1st job (Peach),,Costume,Princess Peach Dress,,,Robe de Peach,,,Peach-Kleid,Vestido de Peach,,,Vestito di Peach,Prinses Peach' jurk,,,,Платье принцессы Пич,ピーチ姫のドレス,,碧姬公主的禮服,桃花公主礼服,피치공주 드레스
Finish 3rd job (Peach),,Costume,Princess Peach Tennis Outfit,,,Tenue de tennis de Peach,,,Peach-Tennisdress,Conjunto de tenis de Peach,,,Tenuta da tennis di Peach,Princes Peach' tennisoutfit,,,,Теннисное платье Пич,ピーチ姫のテニスウェア,,碧姬公主的網球衣,桃花公主网球服,피치공주 테니스복
Clear 3000 course,,Headgear,Rosalina Wig,,,,Perruque de Rosalina,Perruque d'Harmonie,Rosalina-Perücke,,Peluca de Rosalina,Peluca de Estela,Parrucca di Rosalinda,Rosalina-pruik,,,,Парик Розалины,ロゼッタのウィッグ,,羅潔塔的假髮,罗莎塔假发,로젤리나 가발
Clear 3000 course,,Costume,Rosalina Dress,,,,Robe de Rosalina,Robe d'Harmonie,Rosalina-Kleid,,Vestido de Rosalina,Vestido de Estela,Vestito di Rosalinda,Rosalina's jurk,,,,Платье Розалины,ロゼッタのドレス,,羅潔塔的禮服,罗莎塔礼服,로젤리나 드레스
Clear 1000 course,,Headgear,Toad Cap,,,Chapeau de Toad,,,Toad-Mütze,Gorro de Toad,,,Cappello di Toad,Toad-muts,,,,Шапка тоада,キノピオのぼうし,,奇諾比奧的帽子,奇诺比奥帽,키노피오 모자
Clear 1000 course,,Costume,Toad Outfit,,,Tenue de Toad,,,Toad-Anzug,Traje de Toad,,,Vestiti di Toad,Toads outfit,,,,Наряд тоада,キノピオの服,,奇諾比奧的服裝,奇诺比奥服,키노피오 옷
Clear 100 course in Multiplayer Co-op,,Headgear,Yoshi Hat,,,Masque de Yoshi,,,Yoshi-Maske,Máscara de Yoshi,,,Maschera di Yoshi,Yoshi-hoof,,,,Маска йоши,ヨッシーのマスク,,耀西的面具,耀西面具,요시 모자
Clear 100 course in Multiplayer Co-op,,Costume,Yoshi Suit,,,Costume de Yoshi,,,Yoshi-Anzug,Traje de Yoshi,,,Costume di Yoshi,Yoshi-pak,,,,Костюм йоши,ヨッシーの着ぐるみ,,耀西的布偶裝,耀西玩偶服,요시 코스튬
Win 2 match in Multiplayer VS,,Headgear,Bowser Headpiece,,,Casque de Bowser,,,Bowser-Maske,Gorro de Bowser,,,Copricapo di Bowser,Bowser-hoofd,,,,Маска Боузера,クッパのかぶり物,,庫巴的頭套,酷霸王头饰,쿠파 모자
Win 2 match in Multiplayer VS,,Costume,Bowser Suit,,,Costume de Boswer,,,Bowser-Anzug,Traje de Bowser,,,Costume di Bowser,Bowser-pak,,,,Костюм Боузера,クッパの着ぐるみ,,庫巴的布偶裝,酷霸王玩偶服,쿠파 코스튬
High score of 10 in Endless Challenge (easy),,Headgear,Bowser Jr. Headpiece,,,Casque de Bowser Jr.,,,Bowser-Jr.-Maske,,Gorro de Bowser Jr.,Gorro de Bowsy,Copricapo di Bowser Junior,Bowser Jr.-hoofd,,,,Маска Боузера-мл.,クッパJr.のかぶり物,,庫巴Jr.的頭套,酷霸王Jr.头饰,쿠파주니어 모자
Play 10 course,,Top,Slobbery Shirt,,,T-shirt à bavoir,,,Lätzchen-Shirt,Camiseta babero,,,Maglietta con bavaglio,T-shirt met halsdoek,,,,Футболка со слюнявчиком,よだれかけ付きシャツ,,附圍兜襯衫,附围嘴衬衫,턱받이가 달린 셔츠
High score of 10 in Endless Challenge (super expert),,Bottom,Hoverclown,,,Bas souriant,,,Grinsehose,Pantalón sonriente,,,Pantaloni sorridenti,Glimlachbroek,,,,Клоуномобиль купа,ニコニコパンツ,,呵呵笑褲子,嘻嘻短裤,방긋방긋 바지
Clear 10 Super World,3.0.0,Top,Koopaling Hawaiian Shirt,,,,Chemise de Koopalings,Chemisette des Terreurs,Koopaling-Hawaiihemd,,Camisa tropical koopalines,Camisa tropical esbirros,Camicia da Bowserotto,Koopaling-hawaï,,,,Гавайка с купалингами,クッパ7人衆のアロハシャツ,,庫巴7人幫的夏威夷襯衫,酷霸王７人帮夏威夷衬衫,쿠파7인조 알로하 셔츠
Clear 10 course in Multiplayer Co-op,,Headgear,,Magikoopa Hat,Kamek Hat,,Chapeau de Magikoopa,Chapeau de Kamek,Kamek-Hut,,Gorro de Magikoopa,Gorro de Kamek,Cappello di Kamek,Kameks muts,,,,Колпак Камека,カメックのぼうし,,卡美克的帽子,卡美克帽,마귀 모자
Clear 10 course in Multiplayer Co-op,,Costume,,Magikoopa Robes,Kamek Robes,,Tunique de Magikoopa,Tunique de Kamek,Kamek-Robe,,Túnica de Magikoopa,Túnica de Kamek,Tunica di Kamek,Kameks mantel,,,,Мантия Камека,カメックのローブ,,卡美克的袍子,卡美克女袍,마귀 로브
Receive 500 play,,Headgear,Cheep Cheep Hat,,,,Chapeau Aquazo,Chapeau Cheep Cheep,Cheep-Cheep-Mütze,,Gorro de Cheep cheep,Gorro de Cheep Cheep,Cappello Pesce Smack,Cheep Cheep-hoed,,,,Шапка чип-чипа,プクプクのぼうし,,泡泡魚的帽子,泡泡鱼帽,뽀꾸뽀꾸 모자
High score of 100 in Endless Challenge (normal),,Headgear,Faceplant,,,Chapeau mordillant,,,Knabber-Hut,Gorro mordisqueador,,,Copricapo mordace,Happige hoed,,,,Зубастый шлем,丸のみぼうし,,吞食帽子,囫囵帽,삼키는 모자
Receive 100 play,,Headgear,Shy Cap,,,Chapeau timide,,,Grusel-Hut,Gorro asustadizo,,,Cappello timido,Schuchtere muts,,,,Шапка бу,シャイなぼうし,,害羞的帽子,腼腆帽,수줍은 모자
Silver medal on the leaderboard,,Headgear,Rocky Wrench Manhole Lid,,,,Plaque de Mogu,Plaque de Torti Taupe,Rocky-Gullydeckel,,Tapa de topo rocky,Tapa de Tortopo,Cappello tombino Tantatalpa,Rocky Wrench-putdeksel,,,,Крышка люка Роки-ключа,プーのマンホール,,扳手仔的圓孔蓋,扳手仔井盖,뚜 맨홀
High score of 300 in Endless Challenge (normal),3.0.0,Headgear,Pokey Hat,,,Coiffe de Pokey,,,Pokey-Hut,,Gorro de pokey,Gorro de Pokey,Cappello Marghibruco,Pokey-muts,,,,Шапка поки,サンボのぼうし,,刺球丸子的帽子,刺球丸子帽,선인 모자
High score of 500 in Endless Challenge (normal),3.0.0,Headgear,Snow Pokey Hat,,,Coiffe de Pokey des neiges,,,Schnee-Pokey-Hut,,Gorro de pokey polar,Gorro de Pokey Polar,Cappello Nevibruco,Snow Pokey-muts,,,,Шапка снежного поки,スノーサンボのぼうし,,雪刺球丸子的帽子,雪刺球丸子帽,스노선인 모자
Win 5 match in Multiplayer VS,,Top,Fireworks Shirt,,,T-shirt feu d'artifice,,,Feuerwerk-Shirt,Camiseta fuegos artificiales,,,Maglietta pirotecnica,Vuurwerk-T-shirt,,,,Футболка-фейерверк,打ち上げ花火シャツ,,煙火襯衫,焰火衬衫,불꽃놀이 셔츠
Post a comment,,Top,Banzai Bill Shirt,,,,Chandail Bill Banzaï,Pull Bill Bourrin,Riesen-Kugelwilli-Shirt,,Camiseta Bill banzai,Camiseta Bill Banzai,Maglia di Banzai Bill,Banzai Bill-trui,,,,Банзай-футболка,マグナムキラーのシャツ,,大炮彈刺客的襯衫,大炮弹刺客衬衫,매그넘킬러 셔츠
Earn 2000 Maker Point,,Top,Staredown Shirt,,,T-shirt regard intense,,,Hypno-Shirt,Camiseta observadora,,,Maglietta sguardo intenso,Turend T-shirt,,,,Футболка шпиона,目ぢからのあるシャツ,,有眼神的襯衫,气场衬衫,눈을 부릅뜬 셔츠
1 of 1st clear to finish a course,,Bottom,Parent-and-Child Skirt,,,Jupe nounou,,,Blooper-Sitter-Rock,,Falda blooper y familia,Falda Blooper y familia,Gonna mamma e bimbi,Kinderjufrok,,,,Юбка с блуперами,親子スカート,,親子裙子,亲子裙,패밀리 치마
100 of 1st clear to finish a course,,Top,Chomp-Dog Shirt,,,T-shirt gigotant,,,Kettenhund-Shirt,Camiseta encadenada,,,Maglietta scatenata,Chain Chomp-T-shirt,,,,Кусачая футболка,元気に動くシャツ,,活潑好動的襯衫,活跃衬衫,활기찬 셔츠
Upload a course,,Top,Fish Bone Shirt,,,T-shirt aquarium,,,Aquarium-Shirt,Camiseta acuario,,,Maglietta lisca di pesce,Vigraat-T-shirt,,,,Морская майка,アクアリウムシャツ,,水族箱襯衫,水族馆衬衫,아쿠아리움 셔츠
High score of 10 in Endless Challenge (normal),,Top,Angry Sun Shirt,,,Chemisette ensoleillée,,,Sonnen-Hawaiihemd,Camiseta sol tropical,,,Camicia di sole malvagio,Zonnig overhemd,,,,Гавайская злая рубашка,太陽のアロハシャツ,,太陽的夏威夷襯衫,太阳夏威夷衬衫,태양 알로하셔츠
10 of 1st clear to finish a course,,Top,Hot Hot Shirt,,,,Camisole brûlante,Pull sans manches brûlant,Feuer-Strickhemd,Chaleco abrasador,,,Maglia bollente,Vurig shirt,,,,Огненная майка,ホットなシャツ,,炙熱的襯衫,热辣衬衫,뜨거운 민소매 니트
Receive 2000 play,,Top,Running Shirt,,,T-shirt de course,,,Lafband-Shirt,Camiseta de carrera,,,Maglietta da corsa,Lopband-T-shirt,,,,Футболка бегуна,ランニングシャツ,,路跑襯衫,运动背心,러닝셔츠
High score of 1000 in Endless Challenge (normal),3.0.0,Top,Phanto Hoodie,,,,Coton ouaté Phanto,Sweat à capuche Phanto,Phanto-Hoodie,,Sudadera de fantasmáscara,Sudadera de Fantasmáscara,Felpa spettrino,Phanto-capuchontrui,,,,Толстовка с фанто,カメーンのパーカー,,卡面的連帽衣,卡面卫衣,카면 파카
Clear 10 course,,Bottom,Skull Skirt,,,Jupe à crâne,,,Totenkopfrock,Falda calavera,,,Gonna con teschio,Schedelrok,,,,Юбка с черепом,ドクロのスカート,,骷髏的裙子,骷髅裙,해골 치마
Clear 1 course in Multiplayer Co-op,,Bottom,Burner Skirt,,,Réacteur Bill Flamme,,,Brenner-Antrieb,Falda soplete volante,,,Gonna lanciafiamme,Brander-rok,,,,Огонь-юбка,空とぶバーナー,,飛天噴槍,飞行喷枪,플라잉 버너
Receive 5000 play,,Bottom,Wind-Up Shoe,,,Chaussure à remontoir,,,Aufziehschuh,Zapato a cuerda,,,Scarpa a carica,Opwindschoen,,,,Заводной башмак,ゼンマイくつ,,發條鞋,紫萁鞋,태엽 신발
High score of 100 in Endless Challenge (easy),,Bottom,Stingby Skirt,,,Jupe Butitine,,,Summser-Rock,,Falda abejorro,Falda Abejorro,Gonna di Apiciccia,Stingby-rok,,,,Юбка-жужжало,ハッチンのスカート,,叮叮蜂的裙子,叮叮蜂裙,딱끔 치마
Play 500 course,,Costume,Thwomp Suit,,,Costume de Ka-Bang,,,Steinblock-Anzug,,Traje de Don Pisotón,Traje de Roca Picuda,Costume di Twomp,Thwomp-pak,,,,Бамс-костюм,ドッスンの着ぐるみ,,咚咚的布偶裝,咚咚玩偶服,쿵쿵 코스튬
Like a course,,Costume,Googoo Onesie,,,Grenouillère de débutant,,,Anfänger-Strampler,,Pañalero primeros pasos,Body primeros pasos,Tutina primi passi,Newbie-romper,,,,Детское боди,かけだしロンパース,,新手工作服,新生娃娃服,갓난아기 옷
Gold medal on the leaderboard,,Costume,Koopa Troopa Suit,,,Tenue de Koopa,,,Koopa-Anzug,Traje de Koopa,,,Costume di Koopa,Koopa Troopa-pak,,,,Костюм купы-трупы,ノコノコの着ぐるみ,,慢慢龜的布偶裝,慢慢龟玩偶服,엉금엉금 코스튬
Win 10 match in Multiplayer VS,,Headgear,Mushroom Hairclip,,,Barrette champignons,,,Pilz-Haarspange,,Adorno de champiñones,Pinza champiñones,Molletta fungo,Paddenstoelhaarclip,,,,Заколка-гриб,キノコのヘアクリップ,,蘑菇髮夾,蘑菇发夹,버섯 머리핀
,,Top,Super Mushroom Shirt,,,T-shirt super champignon,,,Superpilz-Shirt,Camiseta superchampiñón,,,Maglietta super fungo,Superpaddensttoel-T-shirt,,,,Футболка с супергрибом,スーパーキノコのシャツ,,超級蘑菇的襯衫,超级蘑菇衬衫,슈퍼버섯 셔츠
Hold 500 world record,,Headgear,Super Star Barrette,,,Barrette super étoile,,,Superstern-Haarspange,Broche de superestrella,,,Molletta super stella,Superster-haarclip,,,,Заколка-суперзведа,スーパースターのバレッタ,,無敵星的髮飾,无敌星发夹,슈퍼스타 머리핀
Clear 5000 course,,Bottom,Super Star Flares,,,Pantalon super étoile,,,Superstern-Pumphose,Pantalón superestrella,,,Pantaloni super stella,Supersterren-pofbroek,,,,Штаны суперзвезды,スーパースターのパンツ,,無敵星的褲子,无敌星裤,슈퍼스타 바지
Set 1 world record,,Headgear,Pipe Hat,,,Chapeau tuyau,,,Röhren-Hut,Sombrero tubería,,,Cappello tubo,Buishoed,,,,Шляпа-труба,土管ハット,,水管禮帽,水管帽,토관 모자
Hold 10 world record,,Bottom,Pipe Skirt,,,Jupe tuyau,,,Röhrenrock,Falda tubería,,,Gonna tubo,Buisrok,,,,Юбка-труба,土管のスカート,,水管的裙子,水管裙,토관 치마
High score of 10 in Endless Challenge (expert),,Bottom,Platform Skirt,,,Jupe flottante,,,Plattformrock,Falda flotante,,,Gonna piattaforma,Halfharde rok,,,,Юбка с заклепками,半当たりスカート,,半碰撞裙子,半碰撞裙,반벽 치마
Earn 5000 Maker Point,,Bottom,Doorduroys,,,Pantalon télé-portes,,,Türenhose,Pantalón teletransporte,,,Pantaloni porta,Deurbroek,,,,Брюки с дверями,ドアのパンツ,,門的褲子,门短裤,문 바지
Receive a lot of feedback - 1,,Bottom,Antsy Corduroys,,,Pantalon sens dessus dessous,,,Vewirr-Hose,Pantalón indecisión,,,Pantaloni indecisi,Wegwijsbroek,,,,Штаны туда-сюда,落ち着かないパンツ,,靜不下來的褲子,静不下来的裤子,오락가락 바지
High score of 100 in Endless Challenge (expert),,Bottom,Cloudwalker,,,Bas cotonneux,,,Luftig-Hose,Pantalón esponjoso,,,Pantaloni nuvola,Wolkbroek,,,,Облако в штанах,ふわふわパンツ,,飄飄然褲子,蓬蓬裤,폭신폭신 바지
Receive 1000 play,,Bottom,Bouncy Skirt,,,Jupe rebondissante,,,Rückprallrock,Falda rebotes,,,Gonna salterella,Elastische rok,,,,Юбка с бамперами,もこもこなスカート,,篷勃的裙子,肥肥裙,복슬복슬 털치마
Win 1 match in Multiplayer VS,,Bottom,Shorts of Doom!,,,Short rebelle,,,Bösewicht-Shorts,Pantalón corto rebelde,,,Pantaloncini un po' monelli,Kwaadaardige korte broek,,,,Шорты забияки,ちょいワルな短パン,,有邪惡感的短褲,雅痞短裤,껄렁한 반바지
High score of 1000 in Endless Challenge (easy),3.0.0,Top,Dash Block Hoodie,,,,Coton ouaté bloc turbo,Sweat à capuche bloc turbo,Sprint-Block-Hoodie,Sudadera bloque turbo,,,Felpa blocco scatto,Sprintblok-capuchontrui,,,,Худи «Блоки-ускорители»,ダッシュブロックのパーカー,,衝刺磚塊的連帽衣,冲刺砖块卫衣,대시블록 파카
Clear 100 course,,Bottom,Big-Spender Shorts,,,Short de riche,,,Geldsegen-Shorts,Pantalón corto ricachón,,,Pantaloncini mani bucate,Uitmuntende korte broek,,,,Шорты богача,ざっくざっくな短パン,,口袋麥可麥可的短褲,哗啦哗啦短裤,쨍그랑 반바지
Bronze medal on the leaderboard,,Top,? Block Hoodie,,,,Coton ouaté bloc ?,Sweat à capuche bloc ?,?-Block-Hoodie,Sudadera bloque ?,,,Felpa blocco ?,?-blok-capuchontrui,,,,Толстовка с блоком «?»,ハテナブロックパーカー,,？磚塊連帽衣,？砖块卫衣,?블록 파카
Receive a comment,,Top,Blockstripe Shirt,,,,Chandail à blocs,Pull à blocs,Blockstreifen-Shirt,Camiseta a bloques,,,Maglia con blocchi,Geblokte trui,,,,Футболка с блоками,ブロックのボーダーシャツ,,磚塊的條紋襯衫,砖块条纹衬衫,블록 줄무늬 셔츠
Earn 7000 Maker Point,,Headgear,Fried-Chicken Headgear,,,Casque de poulet frit,,,Hähnchen-Haube,Casco de pollo frito,,,Copricapo pollo fritto,Kipnuggethelm,,,,Фритюр-шлем,カラアゲのかぶり物,,炸雞的頭套,干炸头饰,튀김 모자
Receive a lot of feedback - 2,,Top,Fried-Chicken Hoodie,,,,Coton ouaté poulet frit,Sweat à capuche poulet frit,Hühnchen-Hoodie,Sudadera de pollo frito,,,Felpa pollo fritto,Kipnuggets-capuchontrui,,,,Вкусная толстовка,カラアゲのパーカー,,炸雞的連帽衣,干炸卫衣,튀김 파카
Clear 10000 course,,Headgear,Edamame Barrette,,,Barrette edame,,,Edamame-Harspange,Broche edamame,,,Molletta edamame,Edamame-haarclip,,,,Заколка-эдамамэ,えだまめのバレッタ,,毛豆的髮飾,毛豆发夹,완두콩 머리핀
High score of 100 in Endless Challenge (super expert),,Top,Edamame Camisole,,,Débardeur edamame,,,Edamame-Hemd,Top edamame,,,Canottiera edamame,Edamamehemd,,,,Майка с эдамамэ,えだまめのキャミソール,,毛豆的吊帶背心,毛豆吊带衫,완두콩 캐미솔
Receive a like,,Top,I-Like-You Camisole,,,,Débardeur Cool!,Débardeur Cool !,Herz-Hemd,Top genial,,,Canottiera Bello!,Leuk!'-hemd,,,,Топик с сердечком,いいね！のキャミソール,,讚！的吊帶背心,赞！吊带衫,좋아요! 캐미솔
Clear 1 course,,Top,White Tanktop,,,Débardeur blanc,,,Unterhemd,Camiseta blanca de tirantes,,,Canottiera bianca,Wit hemd,,,,Белая майка,白いタンクトップ,,白色的背心,白色背心,하얀 탱크톱
Rank A in Multiplayer VS,,Top,Laughing Shirt,,,T-shirt riant,,,Lacher-Shirt,Camiseta risueña,,,Maglietta risata,Lachebek-T-shirt,,,,Смех-футболка,笑いのシャツ,,笑臉的襯衫,笑脸衬衫,하하하 셔츠
Play 3000 course,,Costume,Midnight Dress,,,Robe nocturne,,,Nacht-Kleid,Vestido de noche,,,Vestito cielo stellato,Astrojurk,,,,Платье с созвездиями,夜のワンピース,,夜晚的連身裙,黑夜连衣裙,밤빛 원피스
1st place on the leaderboard,,Headgear,Royal Crown,,,Couronne,,,Königskrone,Corona,,,Copricapo regale,Kroon,,,,Корона короля,王かん,王冠,,,왕관
1st place on the leaderboard,,Costume,Royal Attire,,,Tenue de roi,,,Königsgewand,,Atuendo monárquico,Ropajes monárquicos,Vestiti regali,Koninklijke outfit,,,,Наряд короля,王様の服,,國王的服裝,国王服,임금님 옷
2nd place on the leaderboard,,Headgear,Fancy Top Hat,,,Chapeau distingué,,,Zylinder,Sombrero señorial,,,Cappello elegante,Stijlvolle hoed,,,,Цилиндр,こうきなハット,,高貴的禮帽,高贵帽,고귀한 모자
2nd place on the leaderboard,,Costume,Fancy Tuxedo,,,Smoking élégant,,,Frack,,Esmoquin señorial,Frac señorial,Smoking elegante,Stijlvoll smoking,,,,Смокинг,こうきなタキシード,,高貴的晚禮服,高贵晚礼服,고귀한 턱시도
3rd place on the leaderboard,,Costume,Matrimony Dress,,,Robe blanche,,,Festkleid,Vestido blanquísimo,,,Vestito bianco,Hagelwitte jurk,,,,Свадебное платье,まっしろなドレス,,純白的禮服,纯白礼服,새하얀 드레스
Rank S⁺ in Multiplayer VS,,Costume,Superb Suit,,,Combinaison surpuissante,,,Muskelanzug,Supertraje,,,Costume super,Superpak,,,,Супергеройский костюм,さいきょうスーツ,,最強套裝,最强西服,최강 슈트
Finish all jobs,,Headgear,Robot Cap,,,Casque de robot,,,Speicherbot-Hut,Sombrero robótico,,,Cappello robot,Robothoed,,,,Шапка робота,ロボットキャップ,,機器人鴨舌帽,机器人帽,로봇 모자
Finish all jobs,,Costume,Robot Suit,,,Combinaison de robot,,,Speicherbot-Anzug,Traje robótico,,,Costume robot,Robotpak,,,,Костюм робота,ロボットスーツ,,機器人套裝,机器人西服,로봇 슈트
Finish all jobs (Undodog),,Costume,Reset Dress,,,Robe sans retour,,,Reset-Kleid,Vestido peligroso,,,Vestito cancellatutto,Resetjurk,,,,Сброс-платье,きけんなワンピース,,危險的連身裙,危险连衣裙,위험한 원피스
